clave_SUN,Nombre de la ciudad,Entidad,Población total 2010,Porcentaje de la Población SUN,Rango Población,Tipo,Número de Municipios,Índice de Competitividad Urbana IMCO,Ciudad Político-Administrativa (Capital Estatal),Elecciones Ayuntamientos,Elecciones Gobernador,Ciudad Comercial,Ciudad Industrial,Ciudad Minera,Ciudad Costera,Ciudad Portuaria,Ciudad Cultural,Ciudad Turística,Ciudad Fronteriza,Con Estudio PRESEEM,Municipios con PACMUN,Programa Regional de Desarrollo 2014-2018,Clima A,Clima B,Clima C,Precipitación Media Anual,Temp. Minima Anual (°C),Temp. Media Anual (°C),Temp. Máxima Anual (°C),Grado de marginación urbana 2010,Finanzas Públicas / Endeudamiento,Margen de diferencia con respecto a valor de columna 'C' y columa 'AG' (%),2010,2015,2020,2025,2030,Tasa de crecimiento      2010 – 2015 (%),Tasa de crecimiento      2015 – 2020 (%),Tasa de crecimiento      2020 – 2025 (%),Tasa de crecimiento      2025 – 2030 (%),Población masculina (%),Población femenina (%),Población de 0 a 14 años (%),Población de 15 a 64 años (%),Población de 65 años y más (%),Consumo energético promedio por unidad SUN (enero a agosto de 2016) kW,Consumo energético per cápita por ciudad (enero a agosto de 2016) (kW),"Número de delitos por cada 1,000 habitantes"
1,Aguascalientes,Aguascalientes,932369,1.2497366807,C,Zona Metropolitana,3,Adecuada,1,05/07/16,05/07/16,,,,N/A,N/A,N/A,,N/A,1,1 de 3,Centro,Semiseco semicálido,Semiseco templado,-,1.5333333333,9.9583333333,18.825,27.6916666667,Bajo,,0.8872420615,940641.369936327,1016592.27736128,1081320.59055693,1138067.23804506,1187585.99155634,8.0743745547,6.3671852164,5.2479022395,4.3511272318,48.5963175524,51.4036824476,30.8046492322,63.9376684553,4.8575188579,368877,39.563413198,19
3,Mexicali,Baja California,936826,1.2557107922,C,Zona Metropolitana,1,Media Alta,1,05/07/16,07/07/13,,,,0,N/A,N/A,,1,N/A,N/A,Norte,"Muy seco, muy cálido y cálido",-,-,0.175,16.75,22.5833333333,28.4166666667,Bajo,,2.2321306437,957737.18022403,1025740.19323429,1091603.92543817,1153342.00407625,1210211.2205745,7.1003835305,6.4210930446,5.6557215671,4.930819852,50.5113009246,49.4886990754,27.5148213222,65.2328180473,5.230426995,376269,40.1642354076,37
2,Tijuana,Baja California,1751430,2.3475966218,B,Zona Metropolitana,3,Media Baja,0,05/07/16,07/07/13,,,,1,Puertos y Terminales no concesionados a una API,N/A,,1,1,N/A,Norte,Seco templado,-,-,0.6333333333,10.2388888889,18.1472222222,26.0555555556,Medio,,2.1868515305,1789731.17375993,1938596.8359934,2080191.3381616,2212598.11994925,2335372.08758025,8.3177666242,7.3039684961,6.3651251382,5.5488598008,50.4317614749,49.5682385251,29.1348783565,66.0935920933,3.878716249,661856,37.789463467,36
13,Valle de México,Cd. México – Hidalgo - México,20116842,26.9643835722,A,Zona Metropolitana,76,Alta,1,2015 y 2016,01/07/12,,,,N/A,N/A,FONCA/UNESCO,,N/A,N/A,N/A,Centro,Templado subhúmedo con lluvias en verano,Semifrío subhúmedo con lluvias en verano,Semifrío húmedo con lluvias abundantes en verano,2.2536616162,7.4631313131,15.2527777778,23.0424242424,Medio,,1.9134301027,20501763.7105348,21339781.1526482,22086499.3174259,22724231.4721586,23247131.1892449,4.0875382916,3.4991837987,2.8874297623,2.3010666729,48.3672685802,51.6327314198,25.0452034171,67.0658048614,6.1119980959,6387561,31.7523048598,21
10,Tuxtla Gutiérrez,Chiapas,684156,0.9170348312,C,Zona Metropolitana,3,Baja,1,19/07/15,01/07/12,,,,0,N/A,N/A,,N/A,1,N/A,Sur-Sureste,Cálido subhúmedo con lluvias en verano,-,-,2.6833333333,20.2666666667,26.1166666667,31.9666666667,Alto,,2.313281927,699982.457100439,762737.904866533,808931.288190827,844485.07922995,872636.514021751,8.9652886482,6.0562590412,4.3951558752,3.3335621297,48.0597992271,51.9402007729,27.7724670981,66.5177240279,4.6825577792,281749,41.1819818872,11
12,Chihuahua,Chihuahua,852533,1.1427254248,C,Zona Metropolitana,3,Media Alta,1,05/07/16,05/06/16,,,,N/A,N/A,N/A,,0.5,N/A,N/A,Norte,Seco templado,Semiseco templado,-,0.9666666667,7.3958333333,15.8958333333,24.3958333333,Bajo,,3.5512330898,882808.433997607,949606.327448804,996240.623279217,1030790.65366753,1058344.88808269,7.5665218952,4.9109082872,3.4680407103,2.673116439,48.8973447362,51.1026552638,25.4757293853,65.3742435777,6.0438716155,330427,38.758265076,26
11,Juárez,Chihuahua,1332131,1.7855730662,B,Zona Metropolitana,1,Media Alta,0,05/07/16,05/06/16,,,,N/A,N/A,N/A,,1,1,N/A,Norte,Muy seco templado,-,-,0.825,9.8,18.4625,27.125,Medio,,3.4515382428,1378110.01090949,1423165.50394304,1488356.59568324,1554249.82703736,1616344.38462464,3.2693683869,4.5807105048,4.4272475793,3.9951465014,49.9718871492,50.0281128508,29.8200402213,61.2890924391,3.9394774238,417216,31.3194423071,24
6,Monclova-Frontera,Coahuila de Zaragoza,317313,0.4253226945,D,Zona Metropolitana,3,Media Alta,0,04/06/17,04/06/17,,,,N/A,N/A,N/A,,0.5,1,N/A,Norte,Seco semicálido,-,-,0.4666666667,11.6416666667,20.35,29.0583333333,Medio,,1.2567153874,321300.721297084,338517.176683093,355988.472534255,372144.540336458,386622.406567843,5.3583618849,5.1611253592,4.5383682475,3.8903879171,49.7637978904,50.2362021096,28.0760636974,65.4483112889,5.8081452698,119907,37.7882406331,N/D
7,Piedras Negras,Coahuila de Zaragoza,180734,0.2422537743,D,Zona Metropolitana,2,Media Alta,0,04/06/17,04/06/17,,,,N/A,N/A,N/A,,1,N/A,N/A,Norte,Semiseco semicálido,-,-,1.1458333333,13.0666666667,20.8395833333,28.6125,Medio,,1.1866292725,182878.642549368,191073.936492276,201908.07669929,212891.433709225,223080.34405716,4.4812744827,5.6701297968,5.439780909,4.7859653958,50.1516040147,49.8483959853,30.8209855368,62.6534022375,4.8391558866,72372,40.043378667,N/D
5,Saltillo,Coahuila de Zaragoza,823128,1.1033113011,C,Zona Metropolitana,3,Adecuada,1,04/06/17,04/06/17,,,,N/A,N/A,N/A,,0.5,N/A,N/A,Norte,Seco semicálido,Seco Templado,Semiseco templado,0.7416666667,11.8583333333,20.7430555556,29.6277777778,Bajo,,1.2156275032,833134.170354308,900756.289919624,957363.060781867,1007619.57902851,1052523.39696143,8.1165941779,6.2843603198,5.2494732986,4.4564257054,49.7137747714,50.2862252286,28.9250274562,64.6879950627,4.9840365047,309736,37.6291415187,N/D
4,La Laguna,Coahuila de Zaragoza-Durango,1215817,1.6296671188,B,Zona Metropolitana,4,Media Alta,0,2016 y 2017,2016 y 2017,,,,N/A,N/A,N/A,,0,1,N/A,Norte,Muy seco semicálido,-,-,1.3027777778,7.9361111111,16.3708333333,24.8055555556,Medio,,1.6155902752,1235459.62121661,1313161.48723535,1383303.09764422,1446134.61476038,1501567.02654976,6.2893084229,5.3414306687,4.5421366599,3.8331432789,49.0995766633,50.9004233367,28.9390590854,63.575850642,5.6320975936,373178,30.6935994479,N/D
8,Colima-Villa de Álvarez,Colima,334240,0.4480114506,D,Zona Metropolitana,5,Media Alta,1,19/07/15,07/06/15,,,,0.5,N/A,N/A,,N/A,1,N/A,Centro,Cálido subhúmedo con lluvias en verano,-,-,2.3583333333,18.41,25.5775,32.745,Bajo,,1.2223276639,338325.507983912,370644.882382906,400007.084976726,426983.992123871,451940.958852862,9.5527453994,7.9219231101,6.7441073322,5.8449420094,48.9612254667,51.0387745333,25.7704044998,65.9158089995,6.6892053614,153109,45.8081019627,14
9,Tecomán,Colima,141421,0.1895590813,D,Zona Metropolitana,2,Baja,0,19/07/15,07/06/15,,,,0.5,N/A,N/A,,N/A,N/A,N/A,Centro,Semiseco muy cálido y cálido,Cálido subhúmedo con lluvias en verano,-,3.2666666667,16.75,23.6625,30.575,Alto,,1.426081155,143437.778230282,156696.82837289,169669.843272658,182423.047738147,194951.118911859,9.2437643041,8.2790539122,7.5164827288,6.8675922966,50.388556155,49.611443845,30.1178749973,63.3526845377,6.3434709131,54207,38.3302338408,13
57,Celaya,Guanajuato,602045,0.8069741915,C,Zona Metropolitana,3,Media Alta,0,07/06/15,01/07/12,,,,N/A,N/A,N/A,,N/A,N/A,1 de 3,Centro,Semiseco semicálido,-,-,1.7305555556,10.9333333333,18.6680555556,26.4027777778,Medio,,1.2841522257,609776.174267467,640481.09464807,664737.820190002,684059.458422624,699187.791939699,5.0354411465,3.7872664384,2.9066554731,2.2115524215,47.8965858034,52.1034141966,30.0608758482,63.3813087062,5.4409554103,223476,37.1194844239,21
14,León,Guanajuato,1609504,2.1573606442,B,Zona Metropolitana,2,Media Alta,0,07/06/15,01/07/12,,,,N/A,N/A,N/A,,N/A,1,N/A,Centro,Semiseco semicálido,Semicálido subhúmedo con lluvias en verano,Templado subhúmedo con lluvias en verano,1.7666666667,10.0833333333,17.2645833333,24.4458333333,Medio,,1.279283498,1630094.11907142,1714464.27877307,1783951.49735623,1841435.21248751,1887801.32171099,5.1757845584,4.052998913,3.2222689471,2.5179332354,48.8180830865,51.1819169135,31.1312677694,63.6245079229,4.6713148896,562354,34.9395838718,14
16,Moroleón-Uriangato,Guanajuato,108669,0.1456586774,D,Zona Metropolitana,2,N/A,0,07/06/15,01/07/12,,,,N/A,N/A,N/A,,N/A,N/A,N/A,Centro,Templado subhúmedo con lluvias en verano,-,-,1.775,12.0875,20.1770833333,28.2666666667,Medio,,1.1625354897,109932.315691297,113862.443653045,116903.871045165,119169.583284761,120762.977862483,3.5750433683,2.6711418573,1.9380985585,1.3370816057,47.4956059226,52.5043940774,26.9368449144,63.8645795949,8.0262080262,52116,47.9584794192,12
15,San Francisco del Rincón,Guanajuato,182365,0.2444399479,D,Zona Metropolitana,2,Media Baja,0,07/06/15,01/07/12,,,,N/A,N/A,N/A,,N/A,N/A,N/A,Centro,Semicálido subhúmedo con lluvias en verano,-,-,2.0166666667,8.8666666667,17.725,26.5833333333,Medio,,1.3856682945,184891.973985278,195126.116133374,203475.997160366,210635.123218948,216769.358517658,5.5352008676,4.2792226855,3.5184130603,2.9122566099,48.6979409426,51.3020590574,33.2487045212,61.0215776054,5.1199517451,66079,36.234474817,12
27,La Piedad-Pénjamo,Guanajuato-Michoacán de Ocampo,249512,0.3344430142,D,Zona Metropolitana,2,Media Baja,0,07/06/15,2012 y 2015,,,,N/A,N/A,N/A,,N/A,N/A,N/A,Centro,Semicálido subhúmedo con lluvias en verano,-,-,1.725,8.75,18.2625,27.775,Medio,,1.4214261797,253058.628889573,261697.175099344,269412.392838386,275857.921134512,281081.468120124,3.41365408,2.9481471231,2.3924394228,1.8935642537,47.3095482382,52.6904517618,29.8847350027,61.9160601494,7.7835935747,94273,37.7829523229,7
17,Acapulco,Guerrero,863431,1.1573329786,C,Zona Metropolitana,2,Baja,0,07/06/15,07/06/15,,,,1,API - Privada,N/A,,N/A,1,N/A,Sur-Sureste,Cálido subhúmedo con lluvias en verano,-,-,2.0583333333,18.5416666667,25.7791666667,33.0166666667,Alto,,1.6382965638,877576.560403969,919883.797386059,942701.057949713,954279.196865385,958783.017542176,4.8209169309,2.4804503165,1.2281877503,0.4719604799,48.4388445631,51.5611554369,28.7260939206,64.3322975432,6.1515048684,270486,31.3268807814,13
18,Pachuca,Hidalgo,512196,0.6865416256,C,Zona Metropolitana,7,Media Baja,1,05/07/16,05/06/16,,,,N/A,N/A,N/A,,N/A,1,N/A,Centro,Semiseco templado,Templado subhúmedo con lluvias en verano,-,2.7166666667,8.7895833333,16.0239583333,23.2583333333,Medio,,0.8757386589,516681.498381585,570405.403649496,609206.257819966,639502.976867469,664028.406654935,10.397876726,6.8023293472,4.9731463948,3.8350767197,47.801818054,52.198181946,26.324102492,66.7310951276,5.2964099681,232916,45.4739982351,29
20,Tula,Hidalgo,205812,0.2758680369,D,Zona Metropolitana,5,Baja,0,05/07/16,05/06/16,,,,N/A,N/A,N/A,,N/A,N/A,2 de 5,Centro,Semiseco templado,-,-,1.2216666667,8.7166666667,16.5416666667,24.3666666667,Medio,,0.9312510326,207728.626375197,220086.575507125,232117.643234578,243014.84262271,252487.575643301,5.9490833534,5.466515938,4.6946881057,3.8980059483,48.7887003673,51.2112996327,27.75056848,65.9951800672,5.677025635,79871,38.8077468758,23
19,Tulancingo,Hidalgo,239579,0.3211289352,D,Zona Metropolitana,3,Muy Baja,0,05/07/16,05/06/16,,,,N/A,N/A,N/A,,N/A,N/A,1,Centro,Semiseco templado,-,-,1.4916666667,8.8333333333,15.8402777778,22.8472222222,Alto,,0.9152890673,241771.84039448,261887.642589588,278672.858178012,293534.898833176,306699.932234481,8.3201592718,6.4093194404,5.3331496839,4.4849976795,47.2153235467,52.7846764533,29.6950066575,63.5690106395,5.5388827902,77209,32.2269481048,20
21,Guadalajara,Jalisco,4434878,5.9444594479,B,Zona Metropolitana,8,Adecuada,1,07/06/15,01/07/12,,,,0,N/A,N/A,,N/A,1,N/A,Centro,Semicálido subhúmedo con lluvias en verano,-,-,2.6366666667,11.53,19.9425,28.355,Medio,,1.2311036622,4489475.94547331,4796049.93297906,5066976.00133667,5304627.61374671,5514718.42739468,6.8287254733,5.648941778,4.6902059995,3.9605195491,48.9644585488,51.0355414512,28.2320054802,64.7207431636,5.4100473564,1552357,35.0033755156,13
23,Ocotlán,Jalisco,141375,0.1894974235,D,Zona Metropolitana,2,N/A,0,07/06/15,01/07/12,,,,0,N/A,N/A,,N/A,N/A,N/A,Centro,Semicálido subhúmedo con lluvias en verano,-,-,2.9083333333,13.6041666667,21.1708333333,28.7375,Medio,,1.2924489678,143202.199728286,149565.306203668,157105.491038387,164708.182125237,171978.012608623,4.4434418518,5.0413996575,4.8392268383,4.4137640217,48.9294429708,51.0705570292,31.5310344828,61.9133510168,6.1920424403,54399,38.4785145889,11
22,Puerto Vallarta,Jalisco-Nayarit,379886,0.5091948238,D,Zona Metropolitana,2,Media Alta,0,2015 y 2017,2012 y 2017,,,,1,API - SCT,N/A,1,N/A,N/A,N/A,Centro,Cálido subhúmedo con lluvias en verano,-,-,1.9166666667,18.8166666667,26.3916666667,33.9666666667,Medio,,1.7362652418,386481.828576489,443837.028782583,484057.339085489,517440.16269756,547658.639557178,14.8403355514,9.0619546578,6.8964605877,5.8399944647,50.4298658018,49.5701341982,29.1842816003,64.7425806689,3.8198301596,193156,50.8457800498,18
58,Tianguistenco,México,157944,0.2117063205,D,Zona Metropolitana,6,N/A,0,07/06/15,04/06/17,,,,N/A,N/A,N/A,,N/A,N/A,N/A,Centro,Templado subhúmedo con lluvias en verano,-,-,2.62,11.7,18.7508333333,25.8016666667,Alto,,2.6299167395,162097.795695011,179517.343451553,194134.130925044,207544.638190089,219917.288787894,10.7463199495,8.1422703748,6.9078565429,5.9614407318,48.465278833,51.534721167,31.4731803677,62.9602897229,5.1239679887,41965,26.5695436357,11
24,Toluca,México,1936126,2.5951610152,B,Zona Metropolitana,15,Media Baja,1,07/06/15,04/06/17,,,,N/A,N/A,N/A,,N/A,N/A,N/A,Centro,Templado subhúmedo con lluvias en verano,-,-,2.5772222222,7.1061111111,14.6236111111,22.1411111111,Medio,,2.6019361399,1986502.7621087,2189481.43711743,2359883.09752782,2513402.854779,2652180.82065173,10.2178903992,7.7827405851,6.5053967043,5.5215169987,48.6623804442,51.3376195558,29.6009660528,64.5888748976,4.4821979561,609926,31.5023918898,17
25,Morelia,Michoacán de Ocampo,829625,1.1120198052,C,Zona Metropolitana,3,Media Alta,1,07/06/15,07/06/15,,,,0,N/A,FONCA/UNESCO,,N/A,1,N/A,Centro,Templado subhúmedo con lluvias en verano,-,-,2.9611111111,11.8277777778,19.5777777778,27.3277777778,Medio,,1.6002675322,842901.219514391,887593.010900877,919687.188174209,942359.037285506,958103.209378013,5.3021386554,3.6158663801,2.4651696145,1.6707190646,48.0226608407,51.9773391593,26.3572095826,64.7150218472,6.0418863945,362957,43.749525388,16
