clave_SUN,Nombre de la ciudad,Entidad,Población total 2010,Porcentaje de la Población SUN,Rango Población,Tipo,Número de Municipios,Índice de Competitividad Urbana IMCO,Ciudad Político-Administrativa (Capital Estatal),Elecciones Ayuntamientos,Elecciones Gobernador,Ciudad Comercial,Ciudad Industrial,Ciudad Minera,Ciudad Costera,Ciudad Portuaria,Ciudad Cultural,Ciudad Turística,Ciudad Fronteriza,Con Estudio PRESEEM,Municipios con PACMUN,Programa Regional de Desarrollo 2014-2018,Clima A,Clima B,Clima C,Precipitación Media Anual,Temp. Minima Anual (°C),Temp. Media Anual (°C),Temp. Máxima Anual (°C),Grado de marginación urbana 2010,Finanzas Públicas / Endeudamiento,Margen de diferencia con respecto a valor de columna 'C' y columa 'AG' (%),2010,2015,2020,2025,2030,Tasa de crecimiento      2010 – 2015 (%),Tasa de crecimiento      2015 – 2020 (%),Tasa de crecimiento      2020 – 2025 (%),Tasa de crecimiento      2025 – 2030 (%),Población masculina (%),Población femenina (%),Población de 0 a 14 años (%),Población de 15 a 64 años (%),Población de 65 años y más (%),Consumo energético promedio por unidad SUN (enero a agosto de 2016) kW,Consumo energético per cápita por ciudad (enero a agosto de 2016) (kW),"Número de delitos por cada 1,000 habitantes"
26,Zamora-Jacona,Michoacán de Ocampo,250113,0.3352485876,D,Zona Metropolitana,2,Media Baja,0,07/06/15,07/06/15,,,,0,N/A,N/A,,N/A,N/A,N/A,Centro,Semicálido subhúmedo con lluvias en verano,-,-,2.1375,9.9166666667,17.8979166667,25.8791666667,Alto,,1.6195225664,254163.636476457,262047.271917179,269919.001781248,276836.942036201,282818.241534763,3.101795186,3.0039350559,2.5629689682,2.1605857421,48.2569878415,51.7430121585,30.4930171562,62.7732265016,6.2923558552,104113,41.626384874,8
29,Cuautla,Morelos,434147,0.5819256439,D,Zona Metropolitana,6,Media Baja,0,07/06/15,01/07/12,,,,N/A,N/A,N/A,,N/A,N/A,N/A,Centro,Cálido subhúmedo con lluvias en verano ,-,-,3.065,15.1916666667,22.2291666667,29.2666666667,Alto,,1.5029611348,440672.06067784,474092.464091299,502861.975230845,529075.076011953,553117.825979982,7.5839624055,6.0683333566,5.2127824477,4.5442983535,48.3135896367,51.6864103633,29.0758660085,63.4556958818,6.9075681739,193878,44.6572243963,21
28,Cuernavaca,Morelos,924964,1.2398111039,C,Zona Metropolitana,8,Media Alta,1,07/06/15,01/07/12,,,,N/A,N/A,N/A,,N/A,1,N/A,Centro,Semicálido subhúmedo con lluvias en verano,Cálido subhúmedo con lluvias en verano ,Templado subhúmedo con lluvias en verano,2.8202380952,13.2773809524,21.3232142857,29.369047619,Medio,,1.4535907916,938409.191529592,997803.101637975,1054190.31079592,1105001.28809012,1149814.00385521,6.3292123143,5.651135887,4.8199055497,4.0554446631,48.1798210525,51.8201789475,26.2907529374,64.7791697839,6.6675027352,401872,43.4473125441,32
30,Tepic,Nayarit,429351,0.5754971407,D,Zona Metropolitana,2,Media Baja,1,04/06/17,04/06/17,,,,0,N/A,N/A,,N/A,1,N/A,Centro,Semicálido subhúmedo con lluvias en verano,-,-,2.3166666667,19.8,26.7375,33.675,Bajo,,2.2279127093,438916.565496303,484993.74315223,530100.894726528,572801.145744754,613507.482397834,10.4979354342,9.3005636075,8.0551177036,7.1065389718,48.7256347371,51.2743652629,27.5867530296,65.5664013826,5.9412927884,180262,41.9847630493,10
31,Monterrey,Nuevo León,4106054,5.5037075414,B,Zona Metropolitana,13,Adecuada,1,07/06/15,07/06/15,,,,N/A,N/A,N/A,,0.5,1,N/A,Norte,Seco semicálido,Semiseco cálido,Semiseco muy cálido y cálido,1.5480769231,14.5916666667,21.3108974359,28.0301282051,Bajo,,1.5012510405,4167696.17839718,4477613.65362395,4788437.10828028,5084851.75417136,5362186.96880984,7.4361820526,6.9417211645,6.1902169578,5.4541455296,49.7962033622,50.2037966378,26.7431943175,66.2764542308,5.5663417968,1548465,37.7117543997,16
32,Oaxaca,Oaxaca,607963,0.8149066106,C,Zona Metropolitana,22,Media Baja,1,05/07/16,05/06/16,,,,0,N/A,FONCA/UNESCO,1,N/A,1,N/A,Sur-Sureste,Semicálido subhúmedo con lluvias en verano,Semiseco semicálido,-,3.7933333333,14.7658333333,22.0383333333,29.3108333333,Alto,,1.8188368065,619020.854813702,654869.822971265,678758.533451459,693771.113127211,702616.952755262,5.7912375454,3.647856359,2.2117703036,1.2750371788,47.0699697186,52.9300302814,26.4126270842,66.3836450573,5.7056103743,273999,45.0683676474,64
33,Tehuantepec,Oaxaca,161337,0.2162542586,D,Zona Metropolitana,3,Media Baja,0,05/07/16,05/06/16,,,,0.5,N/A,N/A,,N/A,N/A,N/A,Sur-Sureste,Cálido subhúmedo con lluvias en verano,-,-,2.3708333333,11.575,19.2729166667,26.9708333333,Alto,,1.7041603032,164086.441108434,169862.425432484,174159.740266861,176989.795536105,178582.004943049,3.5200862942,2.5298795913,1.6249767397,0.8996052016,48.443320503,51.556679497,27.7530882563,65.3396307109,6.5118354748,63019,39.0604758983,Sin reporte
35,Tehuacán,Puebla,296899,0.3979600038,D,Zona Metropolitana,2,Media Baja,0,04/06/17,05/06/16,,,,N/A,N/A,N/A,,N/A,1,N/A,Sur-Sureste,Semiseco semicálido,Seco semicálido,-,2.6117621528,10.5587373737,18.018902417,25.4790674603,Alto,,1.4510748657,301207.22676538,318797.215865617,335560.244492032,350101.36281387,362253.209569392,5.8398297043,5.2582104837,4.3333853043,3.4709510005,47.1806910768,52.8193089232,31.3473605502,63.2386771259,4.6066170651,114030,38.4070003604,21
59,Teziutlán,Puebla,122500,0.1641975906,D,Zona Metropolitana,2,N/A,0,04/06/17,05/06/16,,,,N/A,N/A,N/A,,N/A,N/A,N/A,Sur-Sureste,Templado húmedo con lluvias todo el año,Templado húmedo con abundantes lluvias en verano,-,6.275,11.5458333333,17.3958333333,23.2458333333,Alto,,1.474616917,124306.405723363,131122.084998994,137565.540165152,143241.341618944,148079.981729547,5.4829670571,4.914088398,4.1258889741,3.3779634119,47.453877551,52.546122449,31.5640816327,62.4391836735,5.3330612245,42910,35.0285714286,18
34,Puebla-Tlaxcala,Puebla-Tlaxcala,2728790,3.6576387212,B,Zona Metropolitana,39,Adecuada,1,2014 y 2016,05/06/16,,,,N/A,N/A,FONCA/UNESCO,,N/A,N/A,N/A,Centro / Sur Sureste,Templado subhúmedo con lluvias en verano,-,-,2.374,8.1493333333,16.0036666667,23.858,Alto,,1.3724530691,2766241.36210392,2954767.45513909,3101539.45438502,3219807.3771746,3315463.50085858,6.815243804,4.9672944309,3.813200655,2.9708647903,47.9252709076,52.0747290924,28.4002433313,64.40458958,5.535017352,1068524,39.1574287505,16
36,Querétaro,Querétaro,1097025,1.4704396887,B,Zona Metropolitana,4,Adecuada,1,07/06/15,07/06/15,,,,N/A,N/A,FONCA/UNESCO,,N/A,1,N/A,Centro,Semiseco semicálido,Semiseco templado,-,1.9708333333,13.25,21.1729166667,29.0958333333,Medio,,1.0803880567,1108877.12707879,1213537.44877041,1302018.76597628,1380113.99961795,1449613.83872324,9.4384056751,7.2911896782,5.9980113714,5.0358042252,48.6090107336,51.3909892664,27.9949864406,66.2963925161,4.6530389007,473578,43.1692987854,14
37,Cancún,Quintana Roo,677379,0.9079510183,C,Zona Metropolitana,2,Adecuada,0,05/07/16,05/06/16,,,,1,Puertos y Terminales no concesionados a una API,N/A,1,0,N/A,1 de 2,Sur-Sureste,Cálido subhúmedo con lluvias en verano,-,-,3.5666666667,20.2833333333,26.0541666667,31.825,Medio,,1.922487644,690401.527578225,801924.487200803,914312.992140317,1023428.45358053,1128618.2299502,16.1533477502,14.0148488708,11.9341475379,10.2781758707,50.6810810492,49.3189189508,27.8622455081,67.8788388775,2.2938414093,293673,43.3543112497,27
39,Ríoverde-Ciudad Fernández,San Luís Potosí,135452,0.1815583024,D,Zona Metropolitana,2,Media Baja,0,07/06/15,07/06/15,,,,N/A,N/A,N/A,,N/A,N/A,N/A,Centro,Semiseco semicálido,-,-,1.2791666667,9.8333333333,18.0958333333,26.3583333333,Medio,,1.2466149728,137140.564913024,143575.360680418,148951.653631179,153605.367070594,157641.188751403,4.6921170053,3.7445791014,3.1243113628,2.6273962673,48.60171869,51.39828131,29.8984141984,60.2471724301,9.4040693382,52023,38.4069633523,17
38,San Luis Potosí-Soledad de Graciano Sánchez,San Luís Potosí,1040443,1.3945978269,B,Zona Metropolitana,2,Alta,1,07/06/15,07/06/15,,,,N/A,N/A,N/A,,N/A,1,N/A,Centro,Seco templado,-,-,2.4166666667,16.3333333333,22.925,29.5166666667,Bajo,,1.177482388,1052694.03308238,1125855.07401064,1181351.8530088,1224990.99592628,1259400.461377,6.9498865415,4.9293004294,3.6940004628,2.8089566017,48.2387790585,51.7612209415,28.2253809195,65.0182662577,5.271312316,416288,40.01064931,25
40,Guaymas,Sonora,203430,0.2726752315,D,Zona Metropolitana,2,Media Alta,0,07/06/15,07/06/15,,,,1,API - SCT,N/A,,0,N/A,N/A,Norte,"Muy seco, muy cálido y cálido",-,-,1.5916666667,12.5916666667,21.8979166667,31.2041666667,Medio,,2.3988842926,208310.050316443,222839.194648364,236571.579153329,249442.203992356,261360.198211054,6.9747687689,6.1624637114,5.4404780511,4.7778579679,50.0103229612,49.9896770388,28.3566828885,64.7013714791,6.683871602,75674,37.1990365236,8
41,Villahermosa,Tabasco,755425,1.0125629788,C,Zona Metropolitana,2,Media Alta,1,07/06/15,01/07/12,,,,N/A,Puertos y Terminales no concesionados a una API,N/A,,0,1,N/A,Sur-Sureste,Cálido húmedo con abundantes lluvias en verano,-,-,5.8583333333,21.45,26.6729166667,31.8958333333,Medio,,0.6781794326,760548.136978927,824598.531878634,867541.620689679,900040.153667504,925903.677045011,8.4216095978,5.2077571268,3.7460488584,2.8735966137,48.7423635702,51.2576364298,26.6442069034,66.3279610815,4.7888274812,286192,37.8848992289,32
44,Matamoros,Tamaulipas,489193,0.655708669,D,Zona Metropolitana,1,Media Baja,0,05/07/16,05/06/16,,,,0.5,Puertos y Terminales Concesionados a las APIs Estatales,N/A,,1,N/A,N/A,Norte,Semicálido subhúmedo con lluvias escasas todo el año,-,-,2.1264814815,16.8233705773,23.3528631285,29.8823556797,Medio,,1.9949176549,498951.997523666,524951.356387752,554343.851036729,582882.971381089,608824.770389956,5.2107936221,5.5990891901,5.1482703905,4.4506016272,49.5170617732,50.4829382268,29.3491525839,64.1346053603,4.6652343758,173171,35.3993209224,14
45,Nuevo Laredo,Tamaulipas,384033,0.5147534149,D,Zona Metropolitana,1,Media Baja,0,05/07/16,05/06/16,,,,0,N/A,N/A,,1,N/A,N/A,Norte,Seco muy cálido y cálido ,-,-,2.1264814815,16.8233705773,23.3528631285,29.8823556797,Medio,,1.9832279102,391649.249640496,414461.311790928,438482.316066708,462011.543811949,483962.50333445,5.8246153086,5.7957168962,5.3660608155,4.7511712243,49.7355695995,50.2644304005,29.2857645046,60.7080641507,4.5522129609,130935,34.0947262345,21
43,Reynosa-Río Bravo,Tamaulipas,727150,0.9746634941,C,Zona Metropolitana,2,Media Baja,0,05/07/16,05/06/16,,,,0,N/A,N/A,,1,1,N/A,Norte,Seco muy cálido y cálido ,-,-,2.6791666667,17.5083333333,23.7270833333,29.9458333333,Medio,,2.0269331422,741888.844343734,809688.311495839,865052.191234428,914338.603133152,959789.497067573,9.1387635316,6.8376780241,5.6975073178,4.9709039713,49.9246372825,50.0753627175,28.3249673382,60.3838272709,3.9819844599,274977,37.8157189026,17
42,Tampico,Tamaulipas - Veracruz de Ignacio de la Llave,859419,1.15195534,C,Zona Metropolitana,5,Media Alta,0,2016 y 2017,05/06/16,,,,1,API - SCT,N/A,,N/A,1,N/A,Norte / Sur-Sureste,Cálido subhúmedo con lluvias en verano,-,-,2.565,18.1316666667,24.4191666667,30.7066666667,Medio,,1.8592019432,875397.334747912,928252.590641783,971222.945881055,1006623.07528658,1036043.65526385,6.0378589008,4.6291662068,3.644902497,2.9227007307,48.6796312392,51.3203687608,25.4730230539,66.6203563105,6.8006408981,341177,39.6985637972,14
46,Tlaxcala-Apizaco,Tlaxcala,499567,0.6696138593,D,Zona Metropolitana,19,Media baja,0,04/06/17,05/06/16,,,,0,N/A,N/A,,N/A,N/A,N/A,Sur-Sureste,Templado subhúmedo con lluvias en verano,-,-,2.0509259259,5.4203703704,14.0726851852,22.725,Medio,,1.3404997402,506263.694337211,546347.581878313,581950.434694791,614154.489653031,643155.569296846,7.9175907713,6.5165206175,5.5338140567,4.7221147337,48.0986534339,51.9013465661,29.1716626599,64.3961670807,5.9435471118,183672,36.7662395635,7
53,Acayucan,Veracruz de Ignacio de la Llave,112996,0.1514585384,D,Zona Metropolitana,3,N/A,0,04/06/17,05/06/16,,,,0,N/A,N/A,,N/A,N/A,N/A,Sur-Sureste,Cálido subhúmedo con lluvias en verano,-,-,3.25,19.1,25.0541666667,31.0083333333,Alto,,0.9958529975,114121.274053056,119367.200253377,124025.867436908,128069.72613884,131489.94813328,4.5967995397,3.9028034281,3.2604962058,2.6705936661,48.0840029736,51.9159970264,28.2673722964,64.7208750752,6.3577471769,42265,37.4039789019,12
52,Coatzacoalcos,Veracruz de Ignacio de la Llave,347257,0.4654592876,D,Zona Metropolitana,3,Media Baja,0,04/06/17,05/06/16,,,,1,API - SCT,N/A,,N/A,N/A,N/A,Sur-Sureste,Cálido húmedo con abundantes lluvias en verano,-,-,4.15,16.4166666667,22.4333333333,28.45,Medio,,0.9512396658,350560.24632615,370556.299493111,385141.938384719,395891.586708952,403591.590667305,5.7040275891,3.9361465212,2.7910874545,1.9449779225,48.4658336621,51.5341663379,24.4029637991,68.8202109677,5.2142937363,159248,45.8588307795,15
53,Córdoba,Veracruz de Ignacio de la Llave,316032,0.4236056568,D,Zona Metropolitana,4,Baja,0,04/06/17,05/06/16,,,,0,N/A,N/A,,N/A,N/A,N/A,Sur-Sureste,Cálido húmedo con abundantes lluvias en verano,Semicálido húmedo con abundantes lluvias en verano,-,3.4555555556,20.1944444444,25.8166666667,31.4388888889,Medio,,0.8952678768,318861.332976565,333733.877464991,345421.072323413,354900.341551099,362607.058654237,4.6642671752,3.5019504005,2.744264895,2.1715158316,47.103141454,52.896858546,26.2346850952,65.6212029162,7.2467345079,123028,38.9289692183,13
51,Minatitlán,Veracruz de Ignacio de la Llave,356137,0.4773619374,D,Zona Metropolitana,6,N/A,0,04/06/17,05/06/16,,,,0.5,N/A,N/A,,N/A,N/A,N/A,Sur-Sureste,Cálido húmedo con abundantes lluvias en verano,-,-,3.7183333333,18.1266666667,23.335,28.5433333333,Alto,,0.9616848759,359561.915666343,378002.984710487,392608.19864143,404344.74668941,413625.683724507,5.1287603722,3.8637827006,2.9893792561,2.2953029837,48.2901243061,51.7098756939,26.5703928544,66.2787073514,6.3913606281,126658,35.5644035863,10
50,Orizaba,Veracruz de Ignacio de la Llave,427406,0.5728900851,D,Zona Metropolitana,12,Baja,0,04/06/17,05/06/16,,,,0,N/A,Pueblo Mágico,,N/A,N/A,N/A,Sur-Sureste,Semicálido húmedo con abunndantes lluvias en verano,-,-,4.6638888889,16.5407407407,22.0087962963,27.4768518519,Alto,,0.8813046325,431172.748877444,450785.488456595,466892.16051908,480617.471820024,492219.493570616,4.5486964634,3.5730236387,2.9397176611,2.4139825185,47.4293762839,52.5706237161,27.3821612238,63.7358857854,7.6175814097,135555,31.7157456844,7
49,Poza Rica,Veracruz de Ignacio de la Llave,513518,0.6883136192,C,Zona Metropolitana,5,Baja,0,04/06/17,05/06/16,,,,0,N/A,N/A,,N/A,N/A,N/A,Sur-Sureste,Cálido subhúmedo con lluvias en verano,-,-,5.9066666667,14.7816666667,19.6583333333,24.535,Alto,,0.879348656,518033.61363154,538412.423270353,555254.492569166,569375.91775252,580924.469291574,3.9338778609,3.1280981959,2.5432347459,2.0282824017,48.19422104,51.80577896,26.3194279461,64.141471185,7.8875521403,194329,37.8426851639,10
47,Veracruz,Veracruz de Ignacio de la Llave,811671,1.0879544701,C,Zona Metropolitana,5,Media Alta,0,04/06/17,05/06/16,,,,1,API - SCT,N/A,1,N/A,N/A,N/A,Sur-Sureste,Cálido subhúmedo con lluvias en verano,-,-,5.0316666667,19.9516666667,25.3141666667,30.6766666667,Medio,,0.8497597944,818568.253820654,863709.147613668,892849.846764425,912509.851689251,925654.022527565,5.5146157431,3.3739018779,2.201938545,1.4404415266,47.4729293026,52.5270706974,22.7211517967,66.3520071556,7.1089148189,371238,45.7374970893,15
48,Xalapa,Veracruz de Ignacio de la Llave,666535,0.8934158455,C,Zona Metropolitana,7,Media Baja,1,04/06/17,05/06/16,,,,0,N/A,N/A,,N/A,N/A,N/A,Sur-Sureste,Semicálido húmedo con abunndantes lluvias en verano,Semicálido húmedo con lluvias todo el año,-,4.0541666667,17.8125,23.7284722222,29.6444444444,Medio,,0.867668625,672318.315069648,719475.875160813,749682.917970672,771517.843959031,787796.723167842,7.0141715664,4.1984789001,2.9125548235,2.1099809079,47.1937707697,52.8062292303,24.8116002911,65.5483958082,6.425919119,285167,42.7834997412,18
54,Mérida,Yucatán,973046,1.3042596635,C,Zona Metropolitana,5,Media Alta,1,07/06/15,01/07/12,,,,0.5,N/A,N/A,,N/A,1,N/A,Sur-Sureste,Cálido subhúmedo con lluvias en verano,-,-,2.9541666667,19.3083333333,26.0770833333,32.8458333333,Medio,,1.196799245,984691.407181322,1064113.65223114,1131784.02208604,1191762.0243686,1245960.17152529,8.0656990069,6.3593178899,5.2994211892,4.5477323533,48.5293603797,51.4706396203,24.7061290011,67.5102718679,6.660322328,437389,44.95049566,43
55,Zacatecas-Guadalupe,Zacatecas,309660,0.4150647014,D,Zona Metropolitana,3,Media Alta,1,05/07/16,05/06/16,,,,N/A,N/A,FONCA/UNESCO,,N/A,N/A,N/A,Centro,Semiseco templado,-,-,2.0888888889,10.5972222222,19.7486111111,28.9,Medio,,1.2506671777,313532.815982363,338166.81963942,354959.362504013,367325.115679956,376801.949469256,7.856913982,4.9657571025,3.4837095404,2.5799580221,48.3853258412,51.6146741588,28.852289608,65.0490860944,4.5869663502,134903,43.5648776077,21
